year,state,municipality_id,pct_mayor_R,pct_mayor_C,pct_mayor_L,pct_mayor_IDK,treated_bvr_2016,treat_bvr2016_x_2016
2012,PA,1502772,0.385393437400446,0.614606562599554,0.0,0.0,0,0
2016,PA,1502772,0.41484126984126984,0.5851587301587302,0.0,0.0,0,0
2012,PA,1502806,0.0,0.47850918942666765,0.5214908105733324,0.0,0,0
2016,PA,1502806,0.016461162921699943,0.7038242473555736,0.2797145897227264,0.0,0,0
2012,PA,1502855,0.0,0.9663976716496891,0.033602328350310885,0.0,0,0
2016,PA,1502855,0.5363489499192245,0.46365105008077545,0.0,0.0,0,0
2012,PA,1502939,0.0,0.5337507708362981,0.46624922916370193,0.0,0,0
2016,PA,1502939,0.0,1.0,0.0,0.0,0,0
2012,PA,1502954,0.03480197675227953,0.6679195378297488,0.29727848541797175,0.0,0,0
2016,PA,1502954,0.2715165970979925,0.7284834029020075,0.0,0.0,0,0
2012,PA,1503002,0.0,1.0,0.0,0.0,0,0
2016,PA,1503002,0.04359233097880928,0.9564076690211907,0.0,0.0,0,0
2012,PA,1503044,0.5148663101604278,0.07358288770053475,0.41155080213903744,0.0,0,0
2016,PA,1503044,0.4325881768504719,0.5674118231495281,0.0,0.0,0,0
2012,PA,1503077,0.0,0.9824061768242516,0.01759382317574837,0.0,0,0
2016,PA,1503077,0.0,1.0,0.0,0.0,0,0
2012,PA,1503093,0.34811034008143604,0.651889659918564,0.0,0.0,0,0
2016,PA,1503093,0.26934548933535934,0.7306545106646407,0.0,0.0,0,0
2012,PA,1503101,0.10290688636716928,0.3914969687548578,0.505596144877973,0.0,0,0
2016,PA,1503101,0.17645417770958294,0.46373273817826755,0.3598130841121495,0.0,0,0
2012,PA,1503200,0.4672076329751661,0.5327923670248339,0.0,0.0,0,0
2016,PA,1503200,0.2829398480804763,0.7170601519195237,0.0,0.0,0,0
2012,PA,1503309,0.3044488859278999,0.2837515730253905,0.4117995410467096,0.0,0,0
2016,PA,1503309,0.3215019221654642,0.42782663647374797,0.25067144136078784,0.0,0,0
2012,PA,1503408,0.8893313195111905,0.11066868048880955,0.0,0.0,0,0
2016,PA,1503408,0.8703062924516212,0.09573241061130335,0.03396129693707548,0.0,0,0
2012,PA,1503457,0.0,0.49373673762748993,0.5062632623725101,0.0,0,0
2016,PA,1503457,0.10472279260780287,0.2474001457243161,0.6478770616678811,0.0,0,0
2012,PA,1503507,0.3263596093291349,0.6736403906708651,0.0,0.0,0,0
2016,PA,1503507,0.7811736550830134,0.21882634491698658,0.0,0.0,0,0
2012,PA,1503606,0.5183654064780173,0.4816345935219827,0.0,0.0,0,0
2016,PA,1503606,0.20909021668761188,0.7909097833123881,0.0,0.0,0,0
2012,PA,1503705,0.0,0.4956217162872154,0.5043782837127846,0.0,0,0
2016,PA,1503705,0.406462438688581,0.593537561311419,0.0,0.0,0,0
2012,PA,1503754,0.32294418031343547,0.19193519985913013,0.48512061982743443,0.0,0,0
2016,PA,1503754,0.5859478568272205,0.10399175136249816,0.31006039181028133,0.0,0,0
2012,PA,1503804,0.03868565878925218,0.4471511816121722,0.5141631595985756,0.0,0,0
2016,PA,1503804,0.4979607843137255,0.4745098039215686,0.027529411764705882,0.0,0,0
2012,PA,1503903,0.4538867519456123,0.5461132480543877,0.0,0.0,0,0
2016,PA,1503903,0.46440289362374987,0.04431355496699213,0.491283551409258,0.0,0,0
2012,PA,1504000,0.5558041768375372,0.0,0.4441958231624627,0.0,0,0
