year,state,municipality_id,pct_mayor_R,pct_mayor_C,pct_mayor_L,pct_mayor_IDK,treated_bvr_2016,group,post_2016,treated_x_post
2004,AM,1300300,0.4268190921228304,0.5731809078771696,0.0,0.0,1,Strict BVR in 2016,0,0
2008,AM,1300300,0.36014542149511475,0.6398545785048853,0.0,0.0,1,Strict BVR in 2016,0,0
2012,AM,1300300,0.5897435897435898,0.41025641025641024,0.0,0.0,1,Strict BVR in 2016,0,0
2016,AM,1300300,1.0,0.0,0.0,0.0,1,Strict BVR in 2016,1,1
2020,AM,1300300,0.5883471726121445,0.41165282738785547,0.0,0.0,1,Strict BVR in 2016,1,1
2000,AM,1300409,0.6747865394274234,0.3252134605725766,0.0,0.0,0,Never BVR,0,0
2004,AM,1300409,0.03937324226597027,0.9606267577340297,0.0,0.0,0,Never BVR,0,0
2008,AM,1300409,0.0,1.0,0.0,0.0,0,Never BVR,0,0
2012,AM,1300409,0.0,0.5436816235928333,0.45631837640716666,0.0,0,Never BVR,0,0
2016,AM,1300409,0.32098765432098764,0.6455418381344308,0.03347050754458162,0.0,0,Never BVR,1,0
2020,AM,1300409,0.459127079816735,0.5289365806607186,0.011936339522546418,0.0,0,Never BVR,1,0
2000,AM,1300508,1.0,0.0,0.0,0.0,0,Never BVR,0,0
2004,AM,1300508,0.22360797407443778,0.45467936757340666,0.32171265835215557,0.0,0,Never BVR,0,0
2008,AM,1300508,0.3309560350275345,0.43089284102193737,0.23815112395052812,0.0,0,Never BVR,0,0
2012,AM,1300508,0.4464601059560122,0.5535398940439878,0.0,0.0,0,Never BVR,0,0
2016,AM,1300508,0.4291305563321219,0.5708694436678781,0.0,0.0,0,Never BVR,1,0
2020,AM,1300508,0.3947696916739483,0.6052303083260516,0.0,0.0,0,Never BVR,1,0
2000,AM,1300607,0.6632984901277584,0.33670150987224157,0.0,0.0,0,Never BVR,0,0
2004,AM,1300607,0.6105252274607114,0.3894747725392887,0.0,0.0,0,Never BVR,0,0
2008,AM,1300607,0.9754133841225868,0.0,0.02458661587741321,0.0,0,Never BVR,0,0
2012,AM,1300607,0.9879535350638176,0.012046464936182418,0.0,0.0,0,Never BVR,0,0
2016,AM,1300607,0.9521113930639599,0.04788860693604008,0.0,0.0,0,Never BVR,1,0
2020,AM,1300607,0.3461101477007714,0.6538898522992286,0.0,0.0,0,Never BVR,1,0
2000,AM,1300631,0.33343662844747446,0.6665633715525255,0.0,0.0,0,Never BVR,0,0
2004,AM,1300631,0.2950615576151612,0.6324526213860838,0.07248582099875502,0.0,0,Never BVR,0,0
2008,AM,1300631,0.4221035982601819,0.2372479240806643,0.3406484776591538,0.0,0,Never BVR,0,0
2012,AM,1300631,0.548717316230883,0.0,0.4512826837691169,0.0,0,Never BVR,0,0
2016,AM,1300631,0.33055555555555555,0.6532051282051282,0.01623931623931624,0.0,0,Never BVR,1,0
2020,AM,1300631,0.5819098291795015,0.4180901708204985,0.0,0.0,0,Never BVR,1,0
2000,AM,1300680,0.47131952017448203,0.528680479825518,0.0,0.0,0,Never BVR,0,0
2004,AM,1300680,0.05381882770870337,0.5374777975133215,0.40870337477797514,0.0,0,Never BVR,0,0
2008,AM,1300680,0.4942795076031861,0.2769007965242578,0.22881969587255613,0.0,0,Never BVR,0,0
2012,AM,1300680,0.004707266843189173,0.7071197411003236,0.2881729920564872,0.0,0,Never BVR,0,0
2016,AM,1300680,0.5730231465162731,0.42697685348372694,0.0,0.0,0,Never BVR,1,0
2020,AM,1300680,1.0,0.0,0.0,0.0,0,Never BVR,1,0
2000,AM,1300706,0.23770404352928626,0.5519044062733384,0.21039155019737543,0.0,0,Never BVR,0,0
2004,AM,1300706,0.3187602148027084,0.6812397851972917,0.0,0.0,0,Never BVR,0,0
2008,AM,1300706,0.5608498191055346,0.4391501808944654,0.0,0.0,0,Never BVR,0,0
2012,AM,1300706,0.7073282793475764,0.29267172065242364,0.0,0.0,0,Never BVR,0,0
2016,AM,1300706,0.381395959065862,0.618604040934138,0.0,0.0,0,Never BVR,1,0
2020,AM,1300706,0.5174664571497642,0.4825335428502357,0.0,0.0,0,Never BVR,1,0
2000,AM,1300805,0.4783269961977186,0.5216730038022813,0.0,0.0,0,Never BVR,0,0
2004,AM,1300805,0.09720110882589646,0.9027988911741035,0.0,0.0,0,Never BVR,0,0
2008,AM,1300805,0.045086796009740006,0.95491320399026,0.0,0.0,0,Never BVR,0,0
2012,AM,1300805,1.0,0.0,0.0,0.0,0,Never BVR,0,0
2016,AM,1300805,0.604639371276461,0.3953606287235391,0.0,0.0,0,Never BVR,1,0
2020,AM,1300805,0.7876805054151624,0.2067351083032491,0.005584386281588448,0.0,0,Never BVR,1,0
2000,AM,1300839,0.5228382648664177,0.4771617351335823,0.0,0.0,0,Never BVR,0,0
2004,AM,1300839,0.3998586239396795,0.6001413760603205,0.0,0.0,0,Never BVR,0,0
2008,AM,1300839,0.0,1.0,0.0,0.0,0,Never BVR,0,0
2012,AM,1300839,0.7125844294347672,0.28741557056523287,0.0,0.0,0,Never BVR,0,0
2016,AM,1300839,0.7516906010181598,0.2483093989818403,0.0,0.0,0,Never BVR,1,0
2020,AM,1300839,1.0,0.0,0.0,0.0,0,Never BVR,1,0
2000,AM,1300904,0.4636143117040631,0.5363856882959369,0.0,0.0,0,Never BVR,0,0
2004,AM,1300904,0.5456185567010309,0.45438144329896907,0.0,0.0,0,Never BVR,0,0
2008,AM,1300904,0.5470497916209696,0.4529502083790305,0.0,0.0,0,Never BVR,0,0
2012,AM,1300904,1.0,0.0,0.0,0.0,0,Never BVR,0,0
2016,AM,1300904,1.0,0.0,0.0,0.0,0,Never BVR,1,0
2020,AM,1300904,0.8690960056061667,0.1309039943938332,0.0,0.0,0,Never BVR,1,0
2000,AM,1301001,0.0,1.0,0.0,0.0,0,Never BVR,0,0
2004,AM,1301001,0.0,1.0,0.0,0.0,0,Never BVR,0,0
2008,AM,1301001,0.573400018523664,0.42659998147633604,0.0,0.0,0,Never BVR,0,0
2012,AM,1301001,0.5319559450116569,0.4680440549883431,0.0,0.0,0,Never BVR,0,0
2016,AM,1301001,0.4128586609989373,0.5384089873994231,0.04873235160163959,0.0,0,Never BVR,1,0
2020,AM,1301001,0.3914129480861406,0.6085870519138594,0.0,0.0,0,Never BVR,1,0
2000,AM,1301100,0.0,0.9791053859417791,0.020894614058220917,0.0,1,Strict BVR in 2016,0,0
2004,AM,1301100,0.4356615885790936,0.5643384114209063,0.0,0.0,1,Strict BVR in 2016,0,0
2008,AM,1301100,0.5103584347254193,0.38715334867916257,0.10248821659541818,0.0,1,Strict BVR in 2016,0,0
2012,AM,1301100,0.4322405782137326,0.43236964377903975,0.13538977800722768,0.0,1,Strict BVR in 2016,0,0
2016,AM,1301100,0.950771340418238,0.001988344189235516,0.04724031539252657,0.0,1,Strict BVR in 2016,1,1
2020,AM,1301100,0.9369964189794091,0.06300358102059087,0.0,0.0,1,Strict BVR in 2016,1,1
2000,AM,1301209,0.7558844691129613,0.22381539726590605,0.020300133621132695,0.0,0,Never BVR,0,0
2004,AM,1301209,0.292470070488196,0.7075299295118039,0.0,0.0,0,Never BVR,0,0
2008,AM,1301209,0.9946535145888594,0.005346485411140583,0.0,0.0,0,Never BVR,0,0
2012,AM,1301209,0.9991269573053959,0.0,0.0008730426946040329,0.0,0,Never BVR,0,0
2016,AM,1301209,0.9686559098278391,0.03134409017216089,0.0,0.0,0,Never BVR,1,0
2020,AM,1301209,0.9443893980678721,0.055610601932127815,0.0,0.0,0,Never BVR,1,0
2000,AM,1301308,0.0,1.0,0.0,0.0,0,Never BVR,0,0
2004,AM,1301308,0.44208708523498214,0.5579129147650179,0.0,0.0,0,Never BVR,0,0
2008,AM,1301308,0.0,0.9329096780914679,0.06709032190853213,0.0,0,Never BVR,0,0
2012,AM,1301308,0.44700074515648286,0.1612332339791356,0.3917660208643815,0.0,0,Never BVR,0,0
2016,AM,1301308,0.6671670787707524,0.3328329212292476,0.0,0.0,0,Never BVR,1,0
2020,AM,1301308,0.5708459091279876,0.4291540908720124,0.0,0.0,0,Never BVR,1,0
2000,AM,1301407,0.43921885833140745,0.5607811416685926,0.0,0.0,0,Never BVR,0,0
2004,AM,1301407,0.5908560311284047,0.3859922178988327,0.023151750972762647,0.0,0,Never BVR,0,0
2008,AM,1301407,0.0,0.9091662719090479,0.09083372809095215,0.0,0,Never BVR,0,0
2012,AM,1301407,0.3778685480876346,0.6221314519123654,0.0,0.0,0,Never BVR,0,0
2016,AM,1301407,0.636390165608813,0.363609834391187,0.0,0.0,0,Never BVR,1,0
2020,AM,1301407,0.9873401369332128,0.012659863066787238,0.0,0.0,0,Never BVR,1,0
2000,AM,1301506,0.5941963273634097,0.40580367263659034,0.0,0.0,0,Never BVR,0,0
2004,AM,1301506,0.0,1.0,0.0,0.0,0,Never BVR,0,0
2008,AM,1301506,0.0,1.0,0.0,0.0,0,Never BVR,0,0
2012,AM,1301506,0.0,1.0,0.0,0.0,0,Never BVR,0,0
2016,AM,1301506,0.540193351873924,0.459806648126076,0.0,0.0,0,Never BVR,1,0
2020,AM,1301506,0.7837046467218333,0.21629535327816676,0.0,0.0,0,Never BVR,1,0
2000,AM,1301605,0.6420719520319786,0.3579280479680213,0.0,0.0,0,Never BVR,0,0
2004,AM,1301605,1.0,0.0,0.0,0.0,0,Never BVR,0,0
2008,AM,1301605,0.3670776552022496,0.41423318191650443,0.21868916288124596,0.0,0,Never BVR,0,0
2012,AM,1301605,0.3993008351136143,0.3581277918042338,0.24257137308215188,0.0,0,Never BVR,0,0
2016,AM,1301605,0.46570272828987,0.53429727171013,0.0,0.0,0,Never BVR,1,0
2020,AM,1301605,0.9854038274408045,0.014596172559195588,0.0,0.0,0,Never BVR,1,0
2000,AM,1301654,1.0,0.0,0.0,0.0,0,Never BVR,0,0
