event_time,term,estimate,std.error,statistic,p.value,conf.low,conf.high,region,region_slug,outcome
-2,(reference period),0.0,,,,,,Sudeste,sudeste,pct_voters_low_ed
0,fixest::.__event_time_plot__::0:.__ever_treated__,-0.0750078239360609,0.0054322391777022,-13.807901582085265,2.310720215661895e-07,-0.0872964027019332,-0.0627192451701887,Sudeste,sudeste,pct_voters_low_ed
2,fixest::.__event_time_plot__::2:.__ever_treated__,-0.061965059831212,0.0066446580564629,-9.325545318459428,6.378531980211896e-06,-0.0769963206479845,-0.0469337990144394,Sudeste,sudeste,pct_voters_low_ed
4,fixest::.__event_time_plot__::4:.__ever_treated__,-0.0627775577488199,0.0075320384525468,-8.334736757430166,1.5929978312274317e-05,-0.0798162124847203,-0.0457389030129195,Sudeste,sudeste,pct_voters_low_ed
6,fixest::.__event_time_plot__::6:.__ever_treated__,-0.0607305395561761,0.0061025643118418,-9.951642695240547,3.72551117128039e-06,-0.0745354991256457,-0.0469255799867064,Sudeste,sudeste,pct_voters_low_ed
8,fixest::.__event_time_plot__::8:.__ever_treated__,-0.046710579770664,0.0047655218411295,-9.8017764534245,4.226056222380916e-06,-0.0574909391380466,-0.0359302204032815,Sudeste,sudeste,pct_voters_low_ed
-8,fixest::.__event_time_plot__::-8:.__ever_treated__,-0.0006901949438599707,0.0032826102336173,-0.2102579638580467,0.838149295544087,-0.0081159751965121,0.0067355853087922,Sudeste,sudeste,pct_voters_high_ed
-6,fixest::.__event_time_plot__::-6:.__ever_treated__,-0.0007799261918938753,0.0029229686217814,-0.2668267411706022,0.795615653688082,-0.0073921405962912,0.0058322882125034,Sudeste,sudeste,pct_voters_high_ed
-4,fixest::.__event_time_plot__::-4:.__ever_treated__,0.0006978804607132497,0.0028928444072453,0.241243690454059,0.8147726024620915,-0.0058461882359975,0.007241949157424,Sudeste,sudeste,pct_voters_high_ed
-2,(reference period),0.0,,,,,,Sudeste,sudeste,pct_voters_high_ed
0,fixest::.__event_time_plot__::0:.__ever_treated__,0.0759616238886078,0.0052129461767829,14.571726105080526,1.4504320658084505e-07,0.0641691203555167,0.0877541274216989,Sudeste,sudeste,pct_voters_high_ed
2,fixest::.__event_time_plot__::2:.__ever_treated__,0.0636952998885923,0.0065321892499736,9.75098813752977,4.4121480201851646e-06,0.048918461188011,0.0784721385891735,Sudeste,sudeste,pct_voters_high_ed
4,fixest::.__event_time_plot__::4:.__ever_treated__,0.0646465260877061,0.0069884139527264,9.250529022037291,6.816706895068827e-06,0.0488376354079471,0.0804554167674651,Sudeste,sudeste,pct_voters_high_ed
6,fixest::.__event_time_plot__::6:.__ever_treated__,0.0613821746895447,0.0058514571077934,10.49006658662688,2.399483182270688e-06,0.0481452590803432,0.0746190902987462,Sudeste,sudeste,pct_voters_high_ed
8,fixest::.__event_time_plot__::8:.__ever_treated__,0.0473789544588364,0.0047400315047921,9.99549357655882,3.591687083368816e-06,0.0366562582383816,0.0581016506792911,Sudeste,sudeste,pct_voters_high_ed
-8,fixest::.__event_time_plot__::-8:.__ever_treated__,-0.0007956761628223866,0.0122984423439518,-0.0646973121123496,0.9498292555896152,-0.0286166856024536,0.0270253332768089,Sudeste,sudeste,log_num_voters_low_ed
-6,fixest::.__event_time_plot__::-6:.__ever_treated__,-0.0006622725072453072,0.010117082754872,-0.0654608174403219,0.9492381143918588,-0.0235487037278012,0.0222241587133106,Sudeste,sudeste,log_num_voters_low_ed
